Artist,Title
Doja Cat,Paint The Town Red
SZA,Snooze
Luke Combs,Fast Car
Taylor Swift,Cruel Summer
Zach Bryan Featuring Kacey Musgraves,I Remember Everything
Morgan Wallen,Last Night
Olivia Rodrigo,Vampire
Gunna,Fukumean
Rema & Selena Gomez,Calm Down
Dua Lipa,Dance The Night
Nicki Minaj & Ice Spice With Aqua,Barbie World
Drake Featuring SZA,Slime You Out
Bailey Zimmerman,Religiously
Zach Bryan Featuring Noah Kahan,Sarah's Place
Miley Cyrus,Flowers
Olivia Rodrigo,Bad Idea Right?
Morgan Wallen,Thinkin' Bout Me
Doja Cat,Agora Hills
Lil Durk Featuring J. Cole,All My Life
Jelly Roll,Need A Favor
Taylor Swift,Anti-Hero
Miley Cyrus,Used To Be Young
Oliver Anthony Music,Rich Men North Of Richmond
Tate McRae,Greedy
SZA,Kill Bill
Zach Bryan Featuring Bon Iver,Boys Of Faith
Noah Kahan With Post Malone,Dial Drunk
Billie Eilish,What Was I Made For?
Lainey Wilson,Watermelon Moonshine
"Metro Boomin, The Weeknd & 21 Savage",Creepin'
Taylor Swift Featuring Ice Spice,Karma
Doechii Featuring Kodak Black,What It Is (Block Boy)
Rod Wave,Great Gatsby
Olivia Rodrigo,Get Him Back!
Travis Scott,I Know ?
"Usher, Summer Walker & 21 Savage",Good Good
David Kushner,Daylight
Young Nudy Featuring 21 Savage,Peaches & Eggplants
Jason Aldean,Try That In A Small Town
"Peso Pluma, Gabito Ballesteros & Junior H",Lady Gaga
Karol G & Peso Pluma,Qlona
Travis Scott Featuring Drake,Meltdown
Luke Combs,Love You Anyway
Cardi B & Megan Thee Stallion,Bongos
Zach Bryan,Deep Satin
Rod Wave,Boyz Don't Cry
Jelly Roll With Lainey Wilson,Save Me
Rod Wave,Come See Me
Selena Gomez,Single Soon
Rod Wave,Call Your Friends
Rod Wave Featuring 21 Savage,Turks & Caicos
Zach Bryan Featuring The War And Treaty,Hey Driver
Jung Kook Featuring Latto,Seven
Zach Bryan,Nine Ball
Shakira X Fuerza Regida,El Jefe
Olivia Rodrigo,All-American Bitch
Chris Stapleton,White Horse
Karol G,Mi Ex Tenia Razon
Myke Towers,LaLa
Lil Tecca,500lbs
Zach Bryan,Tourniquet
Blink-182,One More Time
Kenya Grace,Strangers
Olivia Rodrigo,The Grudge
Bad Bunny,Un Preview
Zach Bryan,"Pain, Sweet, Pain"
Teddy Swims,Lose Control
Sexyy Red,SkeeYee
Morgan Wallen,Everything I Love
"The Weeknd, Playboi Carti & Madonna",Popular
Rod Wave,HG4
Grupo Frontera & Grupo Firme,El Amor de Su Vida
HARDY,Truck Bed
Paul Russell,Lil Boo Thang
Rod Wave,Long Journey
Mitski,My Love Mine All Mine
Travis Scott Featuring SZA & Future,Telekinesis
Peso Pluma & Grupo Frontera,Tulum
Fuerza Regida,Sabor Fresa
Zach Bryan Featuring The Lumineers,Spotless
Parmalee,Girl In Mine
Ice Spice,Deli
Maluma & Carin Leon,Segun Quien
Olivia Rodrigo,Lacy
Young Thug Featuring Drake,Oh U Went
Rod Wave & Wet,Nostalgia
"That Mexican OT, Paul Wall & DRODi",Johnny Dang
Lil Tecca & Kodak Black,HVN On Earth
Peso Pluma x Jasiel Nunez x Junior H,Bipolar
Tyler Childers,In Your Love
Rod Wave,Crazy
Doja Cat,Demons
Olivia Rodrigo,Making The Bed
Olivia Rodrigo,Logical
Zach Bryan,East Side Of Sorrow
Tim McGraw,Standing Room Only
Rod Wave,Checkmate
Dylan Scott,Can't Have Mine
Victoria Monet,On My Mama
Olivia Rodrigo,Love Is Embarrassing
